Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite,Chrome 120.0.0.0,,,28-01-2024 02:47:49,28-01-2024 02:48:53,1m - 3.694s,PASSED
,,,,,,,
Test Cases/TC_Amazon/Manual mode/TC_AmazonHome_ValidateDeliver_Location_006,Chrome 120.0.0.0,,,28-01-2024 02:47:49,28-01-2024 02:48:01,12.054s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,28-01-2024 02:47:50,28-01-2024 02:47:53,2.843s,PASSED
"navigateToUrl(""https://www.amazon.com"")",Chrome 120.0.0.0,,,28-01-2024 02:47:53,28-01-2024 02:47:57,3.721s,PASSED
"click(findTestObject(""AmazonHome_ValidateDeliver_Location_OR/Page_Amazon.com. Spend less. Smile more/a_Deliver to                                                   India""))",Chrome 120.0.0.0,,,28-01-2024 02:47:57,28-01-2024 02:47:58,1.614s,PASSED
"click(findTestObject(""AmazonHome_ValidateDeliver_Location_OR/Page_Amazon.com. Spend less. Smile more/span_Ship outside the US""))",Chrome 120.0.0.0,,,28-01-2024 02:47:58,28-01-2024 02:48:00,1.657s,PASSED
"click(findTestObject(""AmazonHome_ValidateDeliver_Location_OR/Page_Amazon.com. Spend less. Smile more/a_Singapore""))",Chrome 120.0.0.0,,,28-01-2024 02:48:00,28-01-2024 02:48:01,0.721s,PASSED
"click(findTestObject(""AmazonHome_ValidateDeliver_Location_OR/Page_Amazon.com. Spend less. Smile more/button_Done""))",Chrome 120.0.0.0,,,28-01-2024 02:48:01,28-01-2024 02:48:01,0.696s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,28-01-2024 02:48:01,28-01-2024 02:48:01,0.250s,PASSED
,,,,,,,
Test Cases/TC_Amazon/Manual mode/TC_AmazonValidate_Login_002,Chrome 120.0.0.0,,,28-01-2024 02:48:01,28-01-2024 02:48:14,12.754s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,28-01-2024 02:48:02,28-01-2024 02:48:03,0.948s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,28-01-2024 02:48:03,28-01-2024 02:48:06,3.324s,PASSED
"click(findTestObject(""Object Repository/Amazon_Validate_login_OR/Page_Amazon.com. Spend less. Smile more/span_Hello, sign in""))",Chrome 120.0.0.0,,,28-01-2024 02:48:06,28-01-2024 02:48:09,2.940s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Validate_login_OR/Page_Amazon Sign-In/input_email""), ""9294923885"")",Chrome 120.0.0.0,,,28-01-2024 02:48:09,28-01-2024 02:48:11,1.638s,PASSED
"click(findTestObject(""Object Repository/Amazon_Validate_login_OR/Page_Amazon Sign-In/inputcontinue""))",Chrome 120.0.0.0,,,28-01-2024 02:48:11,28-01-2024 02:48:12,1.953s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_Validate_login_OR/Page_Amazon Sign-In/input_password""), ""RigbBhfdqODKcAsiUrg+1Q=="")",Chrome 120.0.0.0,,,28-01-2024 02:48:12,28-01-2024 02:48:13,0.956s,PASSED
"click(findTestObject(""Object Repository/Amazon_Validate_login_OR/Page_Amazon Sign-In/inputsignInSubmit""))",Chrome 120.0.0.0,,,28-01-2024 02:48:13,28-01-2024 02:48:14,0.528s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,28-01-2024 02:48:14,28-01-2024 02:48:14,0.278s,PASSED
,,,,,,,
Test Cases/TC_Amazon/Record and play back mode/TC_AmazonHome_ValidateCreateNewAC_001,Chrome 120.0.0.0,,,28-01-2024 02:48:14,28-01-2024 02:48:32,17.446s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,28-01-2024 02:48:14,28-01-2024 02:48:15,0.996s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,28-01-2024 02:48:15,28-01-2024 02:48:18,2.595s,PASSED
"click(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon.com. Spend less. Smile more/span_Hello, sign in""))",Chrome 120.0.0.0,,,28-01-2024 02:48:18,28-01-2024 02:48:21,2.763s,PASSED
"click(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon Sign-In/a_Create your Amazon account""))",Chrome 120.0.0.0,,,28-01-2024 02:48:21,28-01-2024 02:48:24,2.955s,PASSED
"setText(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon Registration/input_customerName""), ""subham"")",Chrome 120.0.0.0,,,28-01-2024 02:48:24,28-01-2024 02:48:25,1.448s,PASSED
"setText(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon Registration/input_email""), ""shubham@gmail.com"")",Chrome 120.0.0.0,,,28-01-2024 02:48:25,28-01-2024 02:48:26,0.945s,PASSED
"setEncryptedText(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon Registration/input_password""), ""tnXB1jbPNDAOVoUnr2O+7A=="")",Chrome 120.0.0.0,,,28-01-2024 02:48:26,28-01-2024 02:48:27,0.717s,PASSED
"setEncryptedText(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon Registration/input_passwordCheck""), ""tnXB1jbPNDAOVoUnr2O+7A=="")",Chrome 120.0.0.0,,,28-01-2024 02:48:27,28-01-2024 02:48:28,0.670s,PASSED
"click(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon Registration/inputcontinue""))",Chrome 120.0.0.0,,,28-01-2024 02:48:28,28-01-2024 02:48:30,2.445s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon Registration/div_Theres already an account with this ema_a5b427""), 0)",Chrome 120.0.0.0,,,28-01-2024 02:48:30,28-01-2024 02:48:31,1.496s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,28-01-2024 02:48:31,28-01-2024 02:48:32,0.230s,PASSED
,,,,,,,
Test Cases/TC_Amazon/Record and play back mode/TC_AmazonHome_Validate_Customer_Service_005,Chrome 120.0.0.0,,,28-01-2024 02:48:32,28-01-2024 02:48:40,8.585s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,28-01-2024 02:48:32,28-01-2024 02:48:33,0.958s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,28-01-2024 02:48:33,28-01-2024 02:48:36,2.763s,PASSED
"click(findTestObject(""Object Repository/AmazonHome_Validate_Customer_Service_OR/Page_Amazon.com. Spend less. Smile more/input_a-button-input""))",Chrome 120.0.0.0,,,28-01-2024 02:48:36,28-01-2024 02:48:37,1.069s,PASSED
"click(findTestObject(""Object Repository/AmazonHome_Validate_Customer_Service_OR/Page_Amazon.com. Spend less. Smile more/a_Customer Service""))",Chrome 120.0.0.0,,,28-01-2024 02:48:37,28-01-2024 02:48:39,2.593s,PASSED
