Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
record and play,Chrome 120.0.0.0,,,28-01-2024 03:03:17,28-01-2024 03:03:57,40.095s,PASSED
,,,,,,,
Test Cases/TC_Amazon/Record and play back mode/TC_AmazonHome_ValidateCreateNewAC_001,Chrome 120.0.0.0,,,28-01-2024 03:03:17,28-01-2024 03:03:46,28.928s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,28-01-2024 03:03:18,28-01-2024 03:03:20,2.738s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,28-01-2024 03:03:20,28-01-2024 03:03:23,2.221s,PASSED
"click(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon.com. Spend less. Smile more/span_Hello, sign in""))",Chrome 120.0.0.0,,,28-01-2024 03:03:23,28-01-2024 03:03:36,13.602s,PASSED
"click(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon Sign-In/a_Create your Amazon account""))",Chrome 120.0.0.0,,,28-01-2024 03:03:36,28-01-2024 03:03:39,2.821s,PASSED
"setText(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon Registration/input_customerName""), ""subham"")",Chrome 120.0.0.0,,,28-01-2024 03:03:39,28-01-2024 03:03:41,1.456s,PASSED
"setText(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon Registration/input_email""), ""shubham@gmail.com"")",Chrome 120.0.0.0,,,28-01-2024 03:03:41,28-01-2024 03:03:41,0.917s,PASSED
"setEncryptedText(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon Registration/input_password""), ""tnXB1jbPNDAOVoUnr2O+7A=="")",Chrome 120.0.0.0,,,28-01-2024 03:03:41,28-01-2024 03:03:42,0.722s,PASSED
"setEncryptedText(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon Registration/input_passwordCheck""), ""tnXB1jbPNDAOVoUnr2O+7A=="")",Chrome 120.0.0.0,,,28-01-2024 03:03:42,28-01-2024 03:03:43,0.683s,PASSED
"click(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon Registration/inputcontinue""))",Chrome 120.0.0.0,,,28-01-2024 03:03:43,28-01-2024 03:03:45,1.950s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon Registration/div_Theres already an account with this ema_a5b427""), 0)",Chrome 120.0.0.0,,,28-01-2024 03:03:45,28-01-2024 03:03:46,0.970s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,28-01-2024 03:03:46,28-01-2024 03:03:46,0.355s,PASSED
,,,,,,,
Test Cases/TC_Amazon/Record and play back mode/TC_AmazonHome_Validate_Customer_Service_005,Chrome 120.0.0.0,,,28-01-2024 03:03:46,28-01-2024 03:03:57,10.812s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,28-01-2024 03:03:46,28-01-2024 03:03:47,1.056s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,28-01-2024 03:03:47,28-01-2024 03:03:50,2.740s,PASSED
"click(findTestObject(""Object Repository/AmazonHome_Validate_Customer_Service_OR/Page_Amazon.com. Spend less. Smile more/input_a-button-input""))",Chrome 120.0.0.0,,,28-01-2024 03:03:50,28-01-2024 03:03:52,1.594s,PASSED
"click(findTestObject(""Object Repository/AmazonHome_Validate_Customer_Service_OR/Page_Amazon.com. Spend less. Smile more/a_Customer Service""))",Chrome 120.0.0.0,,,28-01-2024 03:03:52,28-01-2024 03:03:56,4.275s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AmazonHome_Validate_Customer_Service_OR/Page_Help  Contact Us - Amazon Customer Service/h1_Welcome to Amazon Customer Service""), 0)",Chrome 120.0.0.0,,,28-01-2024 03:03:56,28-01-2024 03:03:57,0.685s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,28-01-2024 03:03:57,28-01-2024 03:03:57,0.275s,PASSED
