Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TL_TS_Amazon_addtocart_conformation_005,Chrome 120.0.0.0,,,28-01-2024 16:03:05,28-01-2024 16:04:19,1m - 13.980s,PASSED
,,,,,,,
Test Cases/TC_Test_Listener/TC_TS_Amazon_AddtoCart_Conformation_005,Chrome 120.0.0.0,,,28-01-2024 16:03:26,28-01-2024 16:04:19,53.743s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,28-01-2024 16:03:26,28-01-2024 16:03:33,7.038s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazon_AddtoCart_conformation_OR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), ""search-alias=stripbooks-intl-ship"", true)",Chrome 120.0.0.0,,,28-01-2024 16:03:33,28-01-2024 16:03:43,10.284s,PASSED
"setText(findTestObject(""Object Repository/Amazon_AddtoCart_conformation_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), ""DA VINCI CODE"")",Chrome 120.0.0.0,,,28-01-2024 16:03:43,28-01-2024 16:03:44,0.993s,PASSED
"click(findTestObject(""Amazon_AddtoCart_conformation_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 120.0.0.0,,,28-01-2024 16:03:44,28-01-2024 16:03:49,4.819s,PASSED
"click(findTestObject(""Object Repository/Amazon_AddtoCart_conformation_OR/Page_Amazon.com  DA VINCI CODE/span_The Da Vinci Code (Robert Langdon)""))",Chrome 120.0.0.0,,,28-01-2024 16:03:49,28-01-2024 16:03:57,7.784s,PASSED
"click(findTestObject(""Amazon_AddtoCart_conformation_OR/Page_The Da Vinci Code (Robert Langdon) Bro_e0923b/input_submit.add-to-cart""))",Chrome 120.0.0.0,,,28-01-2024 16:03:57,28-01-2024 16:04:13,15.899s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Amazon_AddtoCart_conformation_OR/Page_Amazon.com Shopping Cart/span_Added to Cart""), 0)",Chrome 120.0.0.0,,,28-01-2024 16:04:13,28-01-2024 16:04:15,2.007s,PASSED
"verifyCheckpoint(findCheckpoint(""Checkpoints/Checkpoint_Excel/Checkpoint_testdata_internal""), true)",Chrome 120.0.0.0,,,28-01-2024 16:04:15,28-01-2024 16:04:15,0.120s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,28-01-2024 16:04:15,28-01-2024 16:04:19,4.428s,PASSED
