Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DDT_Amazon_CatogaryValidation_testSuite,Chrome 120.0.0.0,,,28-01-2024 16:19:07,28-01-2024 16:20:32,1m - 25.261s,PASSED
,,,,,,,
Test Cases/DDT/TC_Validation Amazon Category_Excel_003,Chrome 120.0.0.0,,,28-01-2024 16:19:07,28-01-2024 16:19:47,39.304s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,28-01-2024 16:19:07,28-01-2024 16:19:09,1.258s,ERROR
"openBrowser("""")",Chrome 120.0.0.0,,,28-01-2024 16:19:09,28-01-2024 16:19:12,3.061s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,28-01-2024 16:19:12,28-01-2024 16:19:17,4.408s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/categoryElement""), category, false)",Chrome 120.0.0.0,,,28-01-2024 16:19:17,28-01-2024 16:19:37,20.833s,PASSED
"setText(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), item)",Chrome 120.0.0.0,,,28-01-2024 16:19:37,28-01-2024 16:19:39,1.352s,PASSED
"click(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Chrome 120.0.0.0,,,28-01-2024 16:19:39,28-01-2024 16:19:46,7.174s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,28-01-2024 16:19:46,28-01-2024 16:19:47,0.588s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,28-01-2024 16:19:47,28-01-2024 16:19:47,0.172s,ERROR
,,,,,,,
Test Cases/DDT/TC_Validation Amazon Category_Excel_003,Chrome 120.0.0.0,,,28-01-2024 16:19:47,28-01-2024 16:20:04,16.917s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,28-01-2024 16:19:47,28-01-2024 16:19:47,0.125s,ERROR
"openBrowser("""")",Chrome 120.0.0.0,,,28-01-2024 16:19:47,28-01-2024 16:19:48,1.421s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,28-01-2024 16:19:48,28-01-2024 16:19:52,4.083s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/categoryElement""), category, false)",Chrome 120.0.0.0,,,28-01-2024 16:19:52,28-01-2024 16:19:54,1.955s,PASSED
"setText(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), item)",Chrome 120.0.0.0,,,28-01-2024 16:19:54,28-01-2024 16:19:56,1.516s,PASSED
"click(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Chrome 120.0.0.0,,,28-01-2024 16:19:56,28-01-2024 16:20:03,7.207s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,28-01-2024 16:20:03,28-01-2024 16:20:04,0.439s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,28-01-2024 16:20:04,28-01-2024 16:20:04,0.126s,ERROR
,,,,,,,
Test Cases/DDT/TC_Validation Amazon Category_Excel_003,Chrome 120.0.0.0,,,28-01-2024 16:20:04,28-01-2024 16:20:32,28.233s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,28-01-2024 16:20:04,28-01-2024 16:20:04,0.099s,ERROR
"openBrowser("""")",Chrome 120.0.0.0,,,28-01-2024 16:20:04,28-01-2024 16:20:05,1.319s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,28-01-2024 16:20:05,28-01-2024 16:20:09,3.596s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/categoryElement""), category, false)",Chrome 120.0.0.0,,,28-01-2024 16:20:09,28-01-2024 16:20:25,16.603s,PASSED
"setText(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), item)",Chrome 120.0.0.0,,,28-01-2024 16:20:25,28-01-2024 16:20:27,1.364s,PASSED
"click(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Chrome 120.0.0.0,,,28-01-2024 16:20:27,28-01-2024 16:20:31,4.605s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,28-01-2024 16:20:31,28-01-2024 16:20:32,0.469s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,28-01-2024 16:20:32,28-01-2024 16:20:32,0.139s,ERROR
